section,metric,value
valuation,selected_model,xgboost
valuation,validation_rmse,110852.91
valuation,test_rmse,121629.66
valuation,validation_mae,65525.94
valuation,test_mae,70271.43
valuation,validation_r2,0.8963
valuation,test_r2,0.8957
segmentation,segment_count,6
segmentation,silhouette_score,0.1839
segmentation,davies_bouldin_index,1.6291
uncertainty,interval_method,conformal_prediction_residual_quantile
uncertainty,interval_coverage,0.8831
uncertainty,average_interval_width,280938.25
uncertainty,conformal_qhat,140469.12
