section,metric,value
project,project.title,Beyond Price Prediction: DC-REIF for King County
project,project.framework,DC-REIF
project,project.dataset,King County House Sales
project,project.generated_at_utc,2026-04-23T20:57:38.517357+00:00
project,project.freeze_status,official_frozen_results
core_valuation_metrics,core_valuation_metrics.selected_model,xgboost
core_valuation_metrics,core_valuation_metrics.validation_rmse,110852.91
core_valuation_metrics,core_valuation_metrics.test_rmse,121629.66
core_valuation_metrics,core_valuation_metrics.validation_mae,65525.94
core_valuation_metrics,core_valuation_metrics.test_mae,70271.43
core_valuation_metrics,core_valuation_metrics.validation_r2,0.8963
core_valuation_metrics,core_valuation_metrics.test_r2,0.8957
segmentation_results,segmentation_results.segment_count,6
segmentation_results,segmentation_results.silhouette_score,0.1839
segmentation_results,segmentation_results.davies_bouldin_index,1.6291
segmentation_results,segmentation_results.segment_summary_reference,outputs/tables/cluster_profiles.csv
segmentation_results,segmentation_results.segment_profile_count,6
uncertainty_results,uncertainty_results.interval_method,conformal_prediction_residual_quantile
uncertainty_results,uncertainty_results.interval_coverage,0.8831
uncertainty_results,uncertainty_results.average_interval_width,280938.25
uncertainty_results,uncertainty_results.conformal_qhat,140469.12
pricing_anomaly_results,pricing_anomaly_results.within_expected_range,16630
pricing_anomaly_results,pricing_anomaly_results.potentially_over_valued,1125
pricing_anomaly_results,pricing_anomaly_results.potentially_under_valued,781
pricing_anomaly_results,pricing_anomaly_results.insufficient_history,3061
explainability_results,explainability_results.top_features,"[""grade_living_interaction"", ""location_grade_interaction"", ""waterfront"", ""distance_to_seattle_core"", ""waterfront_view_score""]"
explainability_results,explainability_results.feature_importance_file,outputs/tables/feature_importance.csv
explainability_results,explainability_results.shap_summary_file,outputs/figures/shap_summary.png
output_references,output_references.key_figure_files,"[""outputs/figures/price_distribution.png"", ""outputs/figures/log_price_distribution.png"", ""outputs/figures/spatial_price_map.png"", ""outputs/figures/temporal_trend.png"", ""outputs/figures/feature_importance.png"", ""outputs/figures/shap_summary.png""]"
output_references,output_references.key_table_files,"[""outputs/tables/valuation_metrics.csv"", ""outputs/tables/cluster_profiles.csv"", ""outputs/tables/feature_importance.csv"", ""outputs/tables/property_intelligence_table.csv""]"
output_references,output_references.final_property_intelligence_table,outputs/tables/property_intelligence_table.csv
output_references,output_references.upstream_reports,"[""outputs/reports/cluster_summary.json"", ""outputs/reports/uncertainty_metrics.json"", ""outputs/reports/pipeline_summary.md""]"
