feature,importance
grade,0.3355248926960231
sqft_living,0.25628685161591347
lat,0.1557153827456217
long,0.06601500302205973
sqft_living15,0.02938580938961551
waterfront,0.027134881129234383
sqft_above,0.02315708843179715
view,0.01564044976271354
yr_built,0.014201078203775802
house_age,0.012440821766435255
sqft_lot,0.011232448734114178
sqft_lot15,0.011205475440984727
zipcode_98004,0.006439245363529274
bathrooms,0.005587582009179785
sqft_basement,0.004615692825400535
sale_month,0.004002624375967472
segment_label_segment_4,0.0023955886156614837
bedrooms,0.0020995028233482056
condition,0.002015175906365326
floors,0.001355117052243432
zipcode_98040,0.0013087561635115213
zipcode_98039,0.0012672659533540965
sale_quarter,0.0011590324998902671
zipcode_98112,0.0010195335251773506
segment_label_segment_2,0.0007219319814305286
yr_renovated,0.0006612189982350604
zipcode_98119,0.00047099328617992346
years_since_renovation,0.0004667240375238508
zipcode_98144,0.00041291347006586573
zipcode_98006,0.0003970935946739121
renovated_flag,0.00039547192439445063
segment_label_segment_3,0.00037427492186581986
sale_year,0.0003656096331138375
zipcode_98033,0.0003020124679586298
segment_label_segment_5,0.0002698060061642142
zipcode_98109,0.0002312604067532802
segment_label_segment_1,0.00017913479925533055
zipcode_98102,0.00017876564838170813
zipcode_98005,0.00017082640596390115
zipcode_98105,0.00014669039862021476
zipcode_98166,0.00014496400355150618
zipcode_98027,0.00014002423547908568
zipcode_98136,0.00013480801165998934
zipcode_98122,0.00013316215485186016
zipcode_98103,0.0001316406914763798
zipcode_98034,0.00013134113983249678
zipcode_98108,0.00013040353200588291
zipcode_98199,0.00010831000664221468
zipcode_98053,0.00010300746123715192
zipcode_98115,9.619010661417479e-05
zipcode_98118,9.392706649036184e-05
zipcode_98008,8.492725645040465e-05
zipcode_98146,8.008937027129855e-05
zipcode_98074,7.172590940950772e-05
zipcode_98116,6.872103650797468e-05
zipcode_98059,6.823786535003408e-05
zipcode_98010,6.717624613143129e-05
zipcode_98125,6.656549395957944e-05
zipcode_98038,6.554541116599139e-05
zipcode_98019,6.434764690897082e-05
zipcode_98052,6.262294892203106e-05
zipcode_98075,5.779545429466936e-05
zipcode_98107,5.744824584904774e-05
zipcode_98106,5.283939475988881e-05
zipcode_98177,5.1821013081139407e-05
zipcode_98056,5.155762469581681e-05
zipcode_98198,4.847382335887501e-05
zipcode_98058,4.708660455995941e-05
zipcode_98029,4.689234765675451e-05
zipcode_98014,4.620373468956853e-05
zipcode_98117,4.36584267137814e-05
segment_label_segment_0,3.848561682154418e-05
zipcode_98126,3.5329009079972336e-05
zipcode_98007,3.359937176668151e-05
zipcode_98133,3.095148293988878e-05
zipcode_98011,3.079214419701413e-05
zipcode_98065,2.9714344458916174e-05
zipcode_98023,2.5258800777794136e-05
zipcode_98072,2.399115582500055e-05
zipcode_98077,2.388098967173342e-05
zipcode_98155,2.371510824658524e-05
zipcode_98024,2.0478669951388893e-05
zipcode_98070,2.0264575567099428e-05
zipcode_98042,1.871323780888538e-05
zipcode_98168,1.8645244748051753e-05
zipcode_98178,1.8208741677848354e-05
zipcode_98092,1.7672281568921034e-05
zipcode_98001,1.6250151314401904e-05
zipcode_98028,1.295862675130553e-05
zipcode_98055,1.2541941450030704e-05
zipcode_98045,8.532662451990226e-06
zipcode_98003,7.211807828661585e-06
zipcode_98030,7.0256785832116035e-06
zipcode_98148,6.064740750090438e-06
zipcode_98031,5.298996622834614e-06
zipcode_98032,3.8957660976155416e-06
zipcode_98188,3.8886390584737205e-06
zipcode_98022,2.8598586477660214e-06
zipcode_98002,2.2280582607897397e-06
