method,price_band,count,empirical_coverage,average_interval_width
conformal,Q1,575,0.9756521739130435,300500.1754336956
conformal,Q2,575,0.9860869565217392,306565.25478586956
conformal,Q3,575,0.9704347826086956,317343.0292771739
conformal,Q4,575,0.9704347826086956,375572.5239173913
conformal,Q5,575,0.9043478260869565,847101.784751087
quantile_xgb,Q1,575,0.7860869565217391,119018.5703125
quantile_xgb,Q2,575,0.7965217391304348,144432.3125
quantile_xgb,Q3,575,0.808695652173913,185858.21875
quantile_xgb,Q4,575,0.8,238125.296875
quantile_xgb,Q5,575,0.6434782608695652,495246.75
