method,scenario,shock,sample_size,detected,recall,median_abs_gap_after_shock
conformal,synthetic_over_value,0.3,100,31,0.31,121261.015625
conformal,synthetic_under_value,0.3,100,24,0.24,132616.71875
conformal,synthetic_over_value,0.4,100,56,0.56,216845.390625
conformal,synthetic_under_value,0.4,100,44,0.44,157246.1875
conformal,synthetic_over_value,0.5,100,66,0.66,225162.140625
conformal,synthetic_under_value,0.5,100,70,0.7,233576.140625
conformal,overall,0.3,200,55,0.275,
conformal,overall,0.4,200,100,0.5,
conformal,overall,0.5,200,136,0.68,
quantile_xgb,synthetic_over_value,0.3,100,82,0.82,148170.421875
quantile_xgb,synthetic_under_value,0.3,100,86,0.86,131947.546875
quantile_xgb,synthetic_over_value,0.4,100,83,0.83,172133.171875
quantile_xgb,synthetic_under_value,0.4,100,94,0.94,172513.234375
quantile_xgb,synthetic_over_value,0.5,100,89,0.89,202696.984375
quantile_xgb,synthetic_under_value,0.5,100,99,0.99,208953.046875
quantile_xgb,overall,0.3,200,168,0.84,
quantile_xgb,overall,0.4,200,177,0.885,
quantile_xgb,overall,0.5,200,188,0.94,
